gene	coef	HR	HR_lower_95	HR_upper_95	se_coef	p_value	C_index	log2FoldChange	padj	regulation	cox_p_adj	log2_HR	neglog10p	prognostic_class
FRMPD4	-0.5590549801594727	0.5717491228903034	0.37194316261783705	0.878889820759282	0.21937099266929722	0.010820424740155751	0.5827569169960474	-0.990210604601487	9.8151292717296e-4	NS	0.9206895747817477	-0.8065458474603492	1.9657556912917935	Favorable (Protective DEG)
GRIA3	-0.2434065237222926	0.7839527535926671	0.6487935919431654	0.9472687885600489	0.09654979927340959	0.011700642261037281	0.5686405985319029	-0.638345763163872	0.021685783906488	NS	0.9206895747817477	-0.3511613846941733	1.9317902987009414	Favorable (Protective DEG)
IL2RG	-0.21815607154988761	0.8039999503556411	0.6778293517119494	0.9536558405729448	0.08709529672927423	0.012252155767113615	0.5754517221908526	-1.04216763430806	7.44243600892221e-8	Down	0.9206895747817477	-0.31473268256484077	1.9117874904511751	Favorable (Protective DEG)
HP	0.20703374397824398	1.2300240769861668	1.0460338981401849	1.4463768647035866	0.08266885143751763	0.012266819733677874	0.538572840203275	-1.67518930792804	4.1744236479704e-5	Down	0.9206895747817477	0.29868655573408787	1.9112680168279184	Adverse (Risk DEG)
MPL	-0.583704167755053	0.5578282454947092	0.3529745155304269	0.8815717219813908	0.23350186762339498	0.012426914671151368	0.5672642574816488	0.523762740542407	5.2399795145696e-4	NS	0.9206895747817477	-0.8421071081664345	1.9056366837170833	Favorable (Protective DEG)
ZFP28	-0.24618811744560293	0.7817751455483962	0.64389571927770906	0.9491791293205049	0.09899690844403311	0.01288883051757244	0.5837803500846979	-0.887501797723062	1.87364582082352e-5	NS	0.9206895747817477	-0.35517437616456105	1.8897864870536336	Favorable (Protective DEG)
NPAS1	-0.32618322525374677	0.7216729466083921	0.5580275835634545	0.9333084191656568	0.13120835979023235	0.012919006053878461	0.5961321287408243	0.537397189589865	0.00301752302759215	NS	0.9206895747817477	-0.4705829214947481	1.8887708982543192	Favorable (Protective DEG)
SLC4A8	-0.3365482379192704	0.7142314297071201	0.5477219455512571	0.9313604089170787	0.13543069342495073	0.012954346814095326	0.5594297007340485	-0.648979490864968	3.4152429362107e-4	NS	0.9206895747817477	-0.4855364738660503	1.8875844801838058	Favorable (Protective DEG)
FCRLA	-0.24539391109986827	0.7823962829529133	0.6437570186568218	0.9508928459619029	0.09951203937129963	0.013664198311463496	0.5786278938452851	-1.25771763434492	2.71503166446677e-7	Down	0.9206895747817477	-0.35402857860812703	1.8644158435996463	Favorable (Protective DEG)
LTB	-0.22101465099077708	0.801704934432551	0.6722977840440273	0.9560210031146106	0.08981759664587813	0.013866414881479076	0.5931677018633541	-0.934682105885934	2.44836325687766e-7	NS	0.9206895747817477	-0.3188567409481991	1.8580358099037633	Favorable (Protective DEG)
LIMD2	-0.2801501120158861	0.7556702977495664	0.6041505632953309	0.9451908739209006	0.11417644654795536	0.014141084819605292	0.5800395256916996	-0.730510854684441	1.95741658115088e-7	NS	0.9206895747817477	-0.4041711773098064	1.8495172727812135	Favorable (Protective DEG)
CHGB	0.09358768919976927	1.0981068912340872	1.0185920369808483	1.183828952904394	0.03835089418297421	0.014675067109278517	0.5748164878599662	-0.86513746513249	0.035297874158965	NS	0.9206895747817477	0.13501849509676478	1.8334199040413222	Adverse (Risk DEG)
AVPR2	-0.39200228446862057	0.6757025703375441	0.49181866489312903	0.9283380159229543	0.16206568883649936	0.015572381302661273	0.5853331451157537	-0.562167651136505	0.00961703325705874	NS	0.9206895747817477	-0.5655397518200236	1.8076449707633857	Favorable (Protective DEG)
FUT7	-0.3043857013453232	0.7375763273988148	0.5749394950766732	0.9462192863730365	0.12709660498591863	0.016624170270260814	0.5729107848673066	-0.532427373561844	0.0118703243353297	NS	0.9206895747817477	-0.4391357418484068	1.7792600215761178	Favorable (Protective DEG)
KLRG1	-0.40172133619823297	0.6691671923850157	0.48100704248247633	0.9309317573676852	0.168448009276606	0.01708660993998641	0.5701581027667983	-0.925531130709581	2.44533088728045e-6	NS	0.9206895747817477	-0.5795613795524787	1.7673440947047443	Favorable (Protective DEG)
CCR7	-0.18445162592385722	0.8315601648812063	0.7140262983247726	0.9684409516002671	0.07774829548468183	0.017671980565386575	0.5827216261998871	-0.976710245936233	5.15221320604215e-6	NS	0.9206895747817477	-0.26610744600425495	1.7527147747480978	Favorable (Protective DEG)
DTD2	0.3201025851357034	1.377269044421037	1.0559108511113522	1.7964300856686617	0.13556311585681077	0.018211933985216446	0.5566770186335404	0.502725108145803	2.4445776562569e-4	NS	0.9206895747817477	0.4618104121510166	1.7396439325955733	Adverse (Risk DEG)
AC233723.1	-0.4641851996796199	0.6286471184405447	0.42725787829267825	0.9249617610395097	0.19703541543866188	0.018480551062032807	0.5723461321287409	0.79871368634225	2.07342659338132e-5	NS	0.9206895747817477	-0.6696776856318408	1.7332850829193822	Favorable (Protective DEG)
MPZ	0.20313706077044485	1.225240389131268	1.0334224546495363	1.4526624657750895	0.08686945095645937	0.019365590985038428	0.5622529644268774	-0.590945194833075	0.00623317245274652	NS	0.9206895747817477	0.2930648301942808	1.712969244992139	Adverse (Risk DEG)
SEPTIN4	-0.32257972661246526	0.7242781852587848	0.5521032321600066	0.9501463840185035	0.13849260034170452	0.019847416957227405	0.5431253529079616	-0.508461195856007	1.5751209621477e-4	NS	0.9206895747817477	-0.46538417187512116	1.7022960064937085	Favorable (Protective DEG)
GPRIN2	-0.1832631895364166	0.8325490087121069	0.7132962265046983	0.9717391262589926	0.07887659752375001	0.02015678762247239	0.6038255223037832	0.590625588536819	0.0068855988229188	NS	0.9206895747817477	-0.2643928947216825	1.6955786800140993	Favorable (Protective DEG)
CXCR5	-0.6011651864035141	0.5481725406425308	0.32989918582925526	0.9108635220155173	0.25908791502525097	0.020323924452922908	0.5710756634669678	-1.52415037224869	4.87618371199152e-5	Down	0.9206895747817477	-0.867298033179439	1.691992428096503	Favorable (Protective DEG)
EFR3B	-0.20164592513906837	0.8173842919404514	0.6889529900587024	0.9697571392411926	0.08721400787877051	0.02077317287487957	0.5633116883116883	0.580242489756809	0.0143952743684138	NS	0.9206895747817477	-0.29091357621360103	1.682497164667968	Favorable (Protective DEG)
SERPINA9	-0.24500688287320493	0.7826991510043144	0.6358445950819116	0.9634712093510128	0.10601940220383027	0.020834915833092087	0.564935064935065	-0.840129925194919	0.0234804790015063	NS	0.9206895747817477	-0.35347021490483577	1.6812082496246297	Favorable (Protective DEG)
GNG8	-0.4995324555586566	0.6068143060545546	0.39688970886289227	0.9277731163336249	0.2166184665179699	0.021107982883581122	0.5733695652173914	-0.985451127658765	1.9607469203617e-4	NS	0.9206895747817477	-0.7206729963975606	1.675553266663252	Favorable (Protective DEG)
LCE3A	-0.11527878436330712	0.8911176795995199	0.8079090100391005	0.9828962284458256	0.050014721979505274	0.021172340752017526	0.5532891022021457	1.1594198484411	0.0040926345824493	Up	0.9206895747817477	-0.16631213052065127	1.6742311249995852	Favorable (Protective DEG)
STC1	0.17343505454686095	1.189383439214781	1.0250415450903096	1.3800737855495866	0.07586971605366132	0.02225666165612136	0.5419254658385093	-0.54974833811617	0.00949262368973028	NS	0.9206895747817477	0.25021389311106323	1.6525399762569941	Adverse (Risk DEG)
